,OFFENSE_CODE_GROUP,SHOOTING,MONTH,DAY_OF_WEEK,HOUR,Population density (per square mile of land area),BLDG_VAL,LAND_VAL,light_density,Lat,Long,latbin,longbin,light_count,graffiti_count
14952,4,0,11,0,20,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.303224900000004,-71.07039247,21.0,32.0,0.0,4.0
14953,4,0,11,0,22,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.3078312,-71.06529544,22.0,34.0,0.0,20.0
14954,3,0,11,4,23,28541.5,62047.075800616505,297.43615339720776,0.8164952821742791,42.35174282,-71.0627594,35.0,34.0,0.0,128.0
14955,0,0,11,0,8,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.31136702,-71.09328119,23.0,25.0,81.0,13.0
14956,0,0,11,4,20,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.29653192,-71.07125916,19.0,32.0,0.0,14.0
14957,4,0,11,0,4,8352.4,2009.3176055943234,59.18511420917242,0.5256160811642326,42.37757302,-71.02985538,42.0,44.0,0.0,52.0
14958,4,0,11,0,3,15871.3,4156.595899378442,36.813617614615566,0.6847597740969789,42.32902469,-71.08341505,28.0,28.0,101.0,37.0
14959,4,0,11,0,2,68664.8,1501.1511875116196,335.0124646791031,0.9046435591305528,42.37142499,-71.03971329,41.0,41.0,0.0,39.0
14960,3,0,11,5,8,12277.3,3322.718539430008,24.69332228394794,0.5984268564994454,42.27891807,-71.0931412,13.0,25.0,78.0,1.0
14961,3,0,11,5,9,16236.4,1135.6418127681031,46.78040780488331,0.5745571799349198,42.35405804,-71.14787843,36.0,9.0,108.0,14.0
14962,4,0,11,6,0,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.33681394,-71.07362287,30.0,31.0,157.0,58.0
14963,0,0,11,5,22,15744.4,10385.58753470393,109.6077526723893,0.644977502734262,42.32859767,-71.05363334,28.0,37.0,0.0,11.0
14964,4,0,11,4,16,27919.1,8185.301729188343,779.1395233331713,0.8005967753310521,42.35540738,-71.06312433,36.0,34.0,9.0,36.0
14965,0,0,11,6,20,15744.4,10385.58753470393,109.6077526723893,0.644977502734262,42.32648547,-71.05487817,27.0,37.0,0.0,11.0
14966,0,0,10,0,4,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.33765332,-71.06766,31.0,33.0,49.0,4.0
14967,4,0,11,4,15,27919.1,8185.301729188343,779.1395233331713,0.8005967753310521,42.35602373,-71.06177615,36.0,35.0,22.0,59.0
14968,3,0,11,4,9,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.30433950000001,-71.08477887,21.0,28.0,84.0,27.0
14969,0,0,11,4,0,12277.3,3322.718539430008,24.69332228394794,0.5984268564994454,42.26901139,-71.09617666,10.0,24.0,0.0,3.0
14970,3,0,11,6,22,11504.8,271.8533656182899,28.739445371550765,0.5296981860779681,42.27839822,-71.13527907,13.0,13.0,48.0,5.0
14971,0,0,11,6,19,10617.5,1409.2454820303735,46.71120121565768,0.5292225781007307,42.31190641,-71.10213227,23.0,23.0,91.0,27.0
14972,4,0,11,6,19,5669.8,97.0559593659992,27.951490547144235,0.4863571145898651,42.268130600000006,-71.14965367,10.0,8.0,3.0,0.0
14973,3,0,11,6,14,6206.9,455.6444470104271,21.07350673403725,0.43784853067139023,42.25867638,-71.15116479,7.0,8.0,84.0,0.0
14974,4,0,11,6,15,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.30277884,-71.06210293,20.0,35.0,0.0,102.0
14975,3,0,11,1,11,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.345903,-71.06946322,33.0,32.0,43.0,133.0
14976,3,0,10,5,12,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.345903,-71.06946322,33.0,32.0,43.0,133.0
14977,3,0,11,6,15,19926.9,560.4326834702033,189.33304983177882,1.0,42.3469826,-71.09111988,33.0,26.0,121.0,27.0
14978,3,0,11,6,11,24456.0,3738.859653588504,105.3781639862096,0.7830845452224167,42.32332676,-71.10525868,26.0,22.0,93.0,20.0
14979,0,0,11,6,1,24456.0,3738.859653588504,105.3781639862096,0.7830845452224167,42.31614182,-71.09833064,24.0,24.0,116.0,120.0
